channel_id,view_count,sub_count,video_count,created_at,created_date
UCIECJyQ6meDyN-UnVHgXAMA,2137195614,1870000,18432,2024-02-09 06:23:27.574066+00,2024-02-09
UCIF_gt4BfsWyM_2GOcKXyEQ,314626074,1580000,733,2024-02-09 06:23:27.574066+00,2024-02-09
UCiMiEL1XRXANaypB2wEdr5w,4333778643,1650000,33837,2024-02-09 06:23:27.574066+00,2024-02-09
UCIU8ha-NHmLjtUwU7dFiXUA,5263374167,2520000,174340,2024-02-09 06:23:27.574066+00,2024-02-09
UCiWRSesvSYmY7YOyz0tv_zQ,1722316764,1580000,14686,2024-02-09 06:23:27.574066+00,2024-02-09
UCiWXd0nmBjlKROwzMyPV-Nw,838773796,1380000,4174,2024-02-09 06:23:27.574066+00,2024-02-09
UCjhwHd3mgmqm0ONm0bXKmng,249786201,1380000,305,2024-02-09 06:23:27.574066+00,2024-02-09
UCJWXJTaLqI5KBnJuaXbCaTg,284057770,1580000,469,2024-02-09 06:23:27.574066+00,2024-02-09
UCKQVSNdzGBJSXaUmS4TOWww,4637690130,3120000,34762,2024-02-09 06:23:27.574066+00,2024-02-09
UCLW_SzI9txZvtOFTPDswxqg,831911041,2340000,1443,2024-02-09 06:23:27.574066+00,2024-02-09
UCLZBXiS9ZrIXgKBs_SMfGBQ,1862961370,1440000,35742,2024-02-09 06:23:27.574066+00,2024-02-09
UCmdVfsLHu18lCkKYXSOGUxg,2096103204,1550000,195206,2024-02-09 06:23:27.574066+00,2024-02-09
UCnJEWsS5agXCkqIpyHC9Grg,2249515434,3130000,5104,2024-02-09 06:23:27.574066+00,2024-02-09
UCnWCj9UofS6OxSK34xWvKCg,4001072175,5890000,2373,2024-02-09 06:23:27.574066+00,2024-02-09
UCPcF3KTqhD67ADkukx_OeDg,5766502797,3520000,5665,2024-02-09 06:23:27.574066+00,2024-02-09
UCPRWWKG0VkBA0Pqa4Jr5j0Q,1033603008,2570000,2823,2024-02-09 06:23:27.574066+00,2024-02-09
UCpSB70OL7IO7RnZCj_7MQDw,512329794,1360000,2494,2024-02-09 06:23:27.574066+00,2024-02-09
UCpu3bemTQwAU8PqM4kJdoEQ,4095746185,2400000,272238,2024-02-09 06:23:27.574066+00,2024-02-09
UCPwxSX0DYDMQxCvgfeVDv_g,728408706,2510000,1028,2024-02-09 06:23:27.574066+00,2024-02-09
UCQU5uVTG8h9LToACKrm1LMA,1133609345,1550000,3079,2024-02-09 06:23:27.574066+00,2024-02-09
UCR3asjvr_WAaxwJYEDV_Bfw,5364914671,2340000,410732,2024-02-09 06:23:27.574066+00,2024-02-09
UCr90FXGOO8nAE9B6FAUeTNA,198558323,1790000,766,2024-02-09 06:23:27.574066+00,2024-02-09
UCrLO-yoAu4ZTzRSdmWqS53A,1351871280,3150000,2002,2024-02-09 06:23:27.574066+00,2024-02-09
UCSKNqZgZwPlKrKobdfcPGPg,16135585,179000,119,2024-02-09 06:23:27.574066+00,2024-02-09
UCStpPtoeQUYII1Jsbl0qf8A,836070734,1580000,868,2024-02-09 06:23:27.574066+00,2024-02-09
UCsyxqzJGL20zRlnmD2bkPqg,1473822389,1410000,328,2024-02-09 06:23:27.574066+00,2024-02-09
UCtcaZ5FUqaNXGX6xhpiGPQA,538564643,1600000,749,2024-02-09 06:23:27.574066+00,2024-02-09
UCttafJi4SCirZhlxsxISbyA,1941225196,3040000,1822,2024-02-09 06:23:27.574066+00,2024-02-09
UCV1OpUwWJCMiv6gJCRR6yAg,343394996,1730000,338,2024-02-09 06:23:27.574066+00,2024-02-09
UCV_S2S-Zs8LeuJxK-T3RQQg,1029383256,2220000,1641,2024-02-09 06:23:27.574066+00,2024-02-09
UCvw1LiGdyulhnGksJlGWB6g,3280944286,9590000,478,2024-02-09 06:23:27.574066+00,2024-02-09
UCw2W7GIqJNB-UMUxncnMuiw,551515581,1570000,622,2024-02-09 06:23:27.574066+00,2024-02-09
UCwWXGnvVmi-6Sfx2wf8S8tQ,623736576,1610000,7170,2024-02-09 06:23:27.574066+00,2024-02-09
UCX9VHpN62jkqCCntHxymPOA,4042448537,3030000,27426,2024-02-09 06:23:27.574066+00,2024-02-09
UCXpxKdZAiyUEaTkoCPpEZzg,2140471450,5180000,299,2024-02-09 06:23:27.574066+00,2024-02-09
UCxUzQ3wu0oJP_8YLWt71WgQ,660149990,1500000,1076,2024-02-09 06:23:27.574066+00,2024-02-09
UC9i2Qgd5lizhVgJrdnxunKw,358778674,1830000,416,2024-02-10 10:48:52.521436+00,2024-02-10
UCLW_SzI9txZvtOFTPDswxqg,832163713,2340000,1446,2024-02-10 10:48:52.521436+00,2024-02-10
UCI1zO6-A3h7DHg-R_x34vLg,411537710,1360000,4933,2024-02-10 10:48:52.521436+00,2024-02-10
UCrLO-yoAu4ZTzRSdmWqS53A,1352193770,3150000,2003,2024-02-10 10:48:52.521436+00,2024-02-10
UCR3asjvr_WAaxwJYEDV_Bfw,5368302605,2340000,410881,2024-02-10 10:48:52.521436+00,2024-02-10
UCwWXGnvVmi-6Sfx2wf8S8tQ,624213752,1610000,7178,2024-02-10 10:48:52.521436+00,2024-02-10
UC7XxnhjdYjiQJ3m80K_N_4g,179195840,1370000,141,2024-02-10 10:48:52.521436+00,2024-02-10
UCjhwHd3mgmqm0ONm0bXKmng,249800827,1380000,305,2024-02-10 10:48:52.521436+00,2024-02-10
UCdxoeijd8BEuQlARHDcz4EA,830514158,1410000,350,2024-02-10 10:48:52.521436+00,2024-02-10
UC9YOQFPfEUXbulKDtxeqqBA,370868120,1140000,668,2024-02-10 10:48:52.521436+00,2024-02-10
UCFUtqTcgJgRnmZ3tMU6P74Q,1704640449,3600000,1103,2024-02-10 10:48:52.521436+00,2024-02-10
UCFycVZXj9fRWB_OZfFKe2PA,415518937,1070000,689,2024-02-10 10:48:52.521436+00,2024-02-10
UCSKNqZgZwPlKrKobdfcPGPg,16155317,179000,119,2024-02-10 10:48:52.521436+00,2024-02-10
UCeo3JwE3HezUWFdVcehQk9Q,360020117,2770000,702,2024-02-10 10:48:52.521436+00,2024-02-10
UCvw1LiGdyulhnGksJlGWB6g,3286518728,9600000,479,2024-02-10 10:48:52.521436+00,2024-02-10
UCPwxSX0DYDMQxCvgfeVDv_g,728457192,2510000,1028,2024-02-10 10:48:52.521436+00,2024-02-10
UCtcaZ5FUqaNXGX6xhpiGPQA,538668341,1600000,749,2024-02-10 10:48:52.521436+00,2024-02-10
UCGpNjY0Xq2GJLXh4OOX1LOA,275183024,1450000,362,2024-02-10 10:48:52.521436+00,2024-02-10
UCIF_gt4BfsWyM_2GOcKXyEQ,314708282,1580000,735,2024-02-10 10:48:52.521436+00,2024-02-10
UCHm9SiOLG8UoBT8STWY5mVA,1289819254,5830000,871,2024-02-10 10:48:52.521436+00,2024-02-10
UCxUzQ3wu0oJP_8YLWt71WgQ,660300111,1500000,1078,2024-02-10 10:48:52.521436+00,2024-02-10
UC6FcYHEm7SO1jpu5TKjNXEA,1153505320,3570000,338,2024-02-10 10:48:52.521436+00,2024-02-10
UCFsXFlbI8FpNAVQ_RL3I4bw,1376139128,3510000,1213,2024-02-10 10:48:52.521436+00,2024-02-10
UCiWXd0nmBjlKROwzMyPV-Nw,839399273,1380000,4177,2024-02-10 10:48:52.521436+00,2024-02-10
UC7ia-A8gma8qcdC6GDcjwsQ,317593983,1400000,578,2024-02-10 10:48:52.521436+00,2024-02-10
UCpSB70OL7IO7RnZCj_7MQDw,512346716,1360000,2494,2024-02-10 10:48:52.521436+00,2024-02-10
UCttafJi4SCirZhlxsxISbyA,1941811155,3040000,1823,2024-02-10 10:48:52.521436+00,2024-02-10
UCAYrMNl92jw6cpjdpBP8JyA,371030186,2550000,565,2024-02-10 10:48:52.521436+00,2024-02-10
UCGbshtvS9t-8CW11W7TooQg,2085670111,6670000,9490,2024-02-10 10:48:52.521436+00,2024-02-10
UCr90FXGOO8nAE9B6FAUeTNA,198590183,1790000,766,2024-02-10 10:48:52.521436+00,2024-02-10
UCmdVfsLHu18lCkKYXSOGUxg,2096850214,1550000,195238,2024-02-10 10:48:52.521436+00,2024-02-10
UCnWCj9UofS6OxSK34xWvKCg,4010892096,5930000,2373,2024-02-10 10:48:52.521436+00,2024-02-10
UCXpxKdZAiyUEaTkoCPpEZzg,2141856707,5190000,300,2024-02-10 10:48:52.521436+00,2024-02-10
UCI7ktPB6toqucpkkCiolwLg,609050946,3540000,722,2024-02-10 10:48:52.521436+00,2024-02-10
UCPcF3KTqhD67ADkukx_OeDg,5768051883,3520000,5665,2024-02-10 10:48:52.521436+00,2024-02-10
UCGGrblndNzi86WY5lJkQJiA,296366084,1420000,1561,2024-02-10 10:48:52.521436+00,2024-02-10
UC5l1Yto5oOIgRXlI4p4VKbw,3296861032,3280000,116043,2024-02-10 10:48:52.521436+00,2024-02-10
UCnJEWsS5agXCkqIpyHC9Grg,2249821270,3130000,5104,2024-02-10 10:48:52.521436+00,2024-02-10
UCKQVSNdzGBJSXaUmS4TOWww,4638931316,3120000,34782,2024-02-10 10:48:52.521436+00,2024-02-10
UCX9VHpN62jkqCCntHxymPOA,4043470824,3040000,27435,2024-02-10 10:48:52.521436+00,2024-02-10
